,Unnamed: 0,userId,movieId,rating,timestamp
0,159096,0,0,4.0,1619382182
1,159103,0,1,5.0,1619382182
2,159105,0,2,4.5,1619381466
3,159106,0,3,4.5,1619378551
4,159114,0,4,3.0,1619381471
5,159120,0,5,2.5,1619381527
6,159149,0,6,2.5,1619382224
7,159157,0,7,4.5,1619381476
8,159164,0,8,3.0,1619378558
9,159172,0,9,4.5,1619382179
10,159174,0,10,2.0,1619382180
11,159180,0,11,2.5,1619382180
12,159200,0,13,2.0,1619381534
13,159217,0,15,3.5,1619378562
14,159224,0,16,3.5,1619382228
15,159232,0,18,4.0,1619382176
16,159233,0,19,2.5,1619382235
17,159234,0,20,2.5,1619382234
18,159235,0,21,4.5,1619378571
19,159238,0,22,4.5,1619382182
20,159262,0,23,0.5,1619382182
21,159271,0,24,4.0,1619378553
22,159318,0,25,3.0,1619382222
23,159334,0,26,3.0,1619382226
24,159335,0,28,0.5,1619382228
25,159345,0,29,3.0,1619382229
26,159363,0,30,4.0,1619382230
27,159376,0,31,4.0,1619382178
28,159378,0,32,3.5,1619382230
29,159391,0,33,3.0,1619382234
30,159445,0,34,3.0,1619382184
31,159468,0,35,3.5,1619382184
32,159546,0,36,3.0,1619382185
33,159676,0,37,5.0,1619381326
34,159724,0,38,4.0,1619382192
35,159742,0,39,5.0,1619382192
36,159764,0,40,5.0,1619378548
37,159881,0,41,3.5,1619382192
38,159995,0,42,5.0,1619382196
39,160008,0,43,2.5,1619382186
40,160107,0,44,3.0,1619382185
41,160211,0,45,3.0,1619382191
42,160284,0,46,3.0,1619382204
43,160391,0,47,3.0,1619382191
44,161060,0,48,5.0,1619381324
45,161367,0,49,4.0,1619382188
46,516776,1,0,5.0,1531016701
47,516787,1,1,4.0,1531018651
48,516792,1,2,4.0,1531018641
49,516794,1,3,4.0,1531018630
50,516803,1,4,3.0,1531017707
51,516808,1,5,5.0,1531017475
52,516836,1,6,5.0,1531015987
53,516841,1,7,3.0,1531018621
54,516847,1,8,5.0,1531017430
55,516857,1,9,5.0,1531017474
56,516859,1,10,5.0,1531017640
57,516864,1,11,4.0,1531018683
58,516866,1,12,5.0,1531018670
59,516880,1,13,5.0,1531017594
60,516884,1,14,5.0,1531016931
61,516896,1,15,5.0,1531017508
62,516900,1,16,3.0,1531017820
63,516909,1,17,5.0,1531016696
64,516910,1,18,4.0,1531017739
65,516911,1,19,5.0,1531580740
66,516912,1,20,1.0,1531018661
67,516913,1,21,5.0,1531017750
68,516916,1,22,3.0,1532193211
69,516934,1,23,5.0,1531016686
70,516947,1,24,4.0,1531017518
71,516985,1,25,4.0,1531018796
72,516993,1,26,5.0,1531015989
73,516994,1,27,3.0,1531017655
74,516995,1,28,5.0,1531015992
75,517002,1,29,5.0,1531015996
76,517014,1,30,4.0,1531018769
77,517026,1,31,5.0,1531018094
78,517027,1,32,5.0,1531017644
79,517036,1,33,5.0,1531017767
80,517091,1,34,4.0,1531018723
81,517122,1,35,4.0,1531018761
82,517188,1,36,5.0,1531018330
83,517317,1,37,5.0,1531016059
84,517356,1,38,5.0,1531017851
85,517375,1,39,5.0,1531016750
86,517391,1,40,3.0,1531018158
87,517485,1,41,3.0,1531018676
88,517591,1,42,2.0,1531018745
89,517601,1,43,4.0,1531018179
90,517689,1,44,5.0,1531017685
91,517822,1,45,5.0,1531016004
92,517887,1,46,5.0,1531018830
93,517972,1,47,5.0,1531015998
94,518579,1,48,5.0,1531018725
95,518790,1,49,4.0,1531017567
96,525782,2,0,4.0,940928667
97,525800,2,1,4.0,1584930879
98,525807,2,2,4.0,1439953972
